sim_time,reservation_time_trigger,user_requests
21600,0.0,0.0
21610,0.0,0.0
21620,0.0,0.0
21630,0.0,0.0
21640,0.0,0.0
21650,0.0,0.0
21660,0.0,0.0
21670,0.0,0.0
21680,0.0,0.0
21690,0.0,0.0
21700,0.0,0.0
21710,0.0,0.0
21720,0.0,0.0
21730,0.0,0.0
21740,0.0,0.0
21750,0.0,0.0
21760,0.0,0.0
21770,0.0,0.0
21780,0.0,0.0
21790,0.0,0.69938
21800,0.0,0.0
21810,0.0,0.0
21820,0.0,0.0
21830,0.0,0.0
21840,0.0,0.0
21850,0.0,0.0
21860,0.0,0.0
21870,0.0,0.0
21880,0.0,0.0
21890,0.0,0.0
21900,0.0,0.0
21910,0.0,0.0
21920,0.0,0.0
21930,0.0,0.0
21940,0.0,0.0
21950,0.0,0.0
21960,0.0,0.0
21970,0.0,0.0
21980,0.0,0.0
21990,0.0,0.0
22000,0.0,0.0
22010,0.0,0.0
22020,0.0,0.0
22030,0.0,0.18411
22040,0.0,0.0
22050,0.0,0.0
22060,0.0,0.0
22070,0.0,0.0
22080,0.0,0.38665
22090,0.0,0.0
22100,0.0,0.0
22110,0.0,0.0
22120,0.0,0.0
22130,0.0,0.0
22140,0.0,0.0
22150,0.0,0.0
22160,0.0,0.0
22170,0.0,0.0
22180,0.0,0.0
22190,0.0,0.0
22200,0.0,0.0
22210,0.0,0.0
22220,0.0,0.0
22230,0.0,0.0
22240,0.0,0.0
22250,0.0,0.0
22260,0.0,0.0
22270,0.0,0.0
22280,0.0,0.0
22290,0.0,0.0
22300,0.0,0.0
22310,0.0,0.0
22320,0.0,0.0
22330,0.0,0.0
22340,0.0,0.0
22350,0.0,0.0
22360,0.0,0.0
22370,0.0,0.0
22380,0.0,0.0
22390,0.0,0.39508
22400,0.0,0.0
22410,0.0,0.0
22420,0.0,0.0
22430,0.0,0.0
22440,0.0,0.0
22450,0.0,0.0
22460,0.0,0.0
22470,0.0,0.0
22480,0.0,0.51969
22490,0.0,0.0
22500,0.0,0.0
22510,0.0,0.0
22520,0.0,0.0
22530,0.0,0.0
22540,0.0,0.0
22550,0.0,0.0
22560,0.0,0.0
22570,0.0,0.0
22580,0.0,0.0
22590,0.0,0.0
22600,0.0,0.0
22610,0.0,0.0
22620,0.0,0.0
22630,0.0,0.0
22640,0.0,0.44247
22650,0.0,0.0
22660,0.0,0.0
22670,0.0,0.0
22680,0.0,0.0
22690,0.0,0.0
22700,0.0,0.0
22710,0.0,0.0
22720,0.0,0.0
22730,0.0,0.0
22740,0.0,0.0
22750,0.0,0.0
22760,0.0,0.0
22770,0.0,0.0
22780,0.0,0.0
22790,0.0,0.0
22800,0.0,0.0
22810,0.0,0.0
22820,0.0,0.0
22830,0.0,0.0
22840,0.0,0.0
22850,0.0,0.0
